,P_mean,P_max,P_std,n_samples,day_of_week,hour,weekend,Baseline_Mean,Baseline_Max,ratio_mean,ratio_max,label_rel
2023-03-31 17:45:00+00:00,1.2797257019438446,2.543,0.4007447940593689,463,4,17,0,0.838486451949219,1.445,1.5262330106454103,1.7598615916955018,0
2023-03-31 18:00:00+00:00,0.9120744444444444,2.355,0.21972403060264922,900,4,18,0,0.8422426816098814,1.6469999999999998,1.0829116884709347,1.429872495446266,0
2023-03-31 18:15:00+00:00,0.9053944444444445,2.44,0.21351139987806037,900,4,18,0,0.8422426816098814,1.6469999999999998,1.0749804827200795,1.4814814814814816,0
2023-03-31 18:30:00+00:00,0.8587133333333333,0.886,0.006894246444523068,900,4,18,0,0.8422426816098814,1.6469999999999998,1.0195557077349364,0.5379477838494232,0
2023-03-31 18:45:00+00:00,0.8838322222222221,2.694,0.1905130584354609,900,4,18,0,0.8422426816098814,1.6469999999999998,1.0493795215089856,1.6357012750455375,0
2023-03-31 19:00:00+00:00,0.9114611111111112,2.542,0.1725188117900652,900,4,19,0,0.9448527777777778,1.8225,0.9646593972605962,1.394787379972565,0
2023-03-31 19:15:00+00:00,0.8811833333333334,0.927,0.018655674865087537,900,4,19,0,0.9448527777777778,1.8225,0.932614428467692,0.508641975308642,0
2023-03-31 19:30:00+00:00,0.8279833333333334,2.409,0.16710264990786106,900,4,19,0,0.9448527777777778,1.8225,0.8763093603647836,1.3218106995884773,0
2023-03-31 19:45:00+00:00,0.7604388888888889,1.007,0.07164490080870868,900,4,19,0,0.9448527777777778,1.8225,0.8048226208080624,0.5525377229080932,0
2023-03-31 20:00:00+00:00,0.6207733333333334,2.274,0.225064716338658,900,4,20,0,0.7060897448502206,1.5589405847002193,0.879170583995686,1.4586829173077722,0
2023-03-31 20:15:00+00:00,0.5467244444444445,0.871,0.019477480857041173,900,4,20,0,0.7060897448502206,1.5589405847002193,0.7742988032780712,0.5587127620822645,0
2023-03-31 20:30:00+00:00,0.5316299999999999,2.123,0.1661395268119517,900,4,20,0,0.7060897448502206,1.5589405847002193,0.752921287807079,1.3618222662464383,0
2023-03-31 20:45:00+00:00,0.5121033333333334,0.554,0.012351155638491295,900,4,20,0,0.7060897448502206,1.5589405847002193,0.7252666351101918,0.3553695409799938,0
2023-03-31 21:00:00+00:00,0.5453166666666667,2.109,0.161656059554402,900,4,21,0,0.5478177777777777,1.1351034872822563,0.9954344104690125,1.8579803723883488,0
2023-03-31 21:15:00+00:00,0.5476266666666667,2.145,0.16604997626088436,900,4,21,0,0.5478177777777777,1.1351034872822563,0.9996511410931455,1.889695542329544,0
2023-03-31 21:30:00+00:00,0.5621433333333333,0.844,0.020298180710490336,900,4,21,0,0.5478177777777777,1.1351034872822563,1.0261502202678912,0.7435445397324639,0
2023-03-31 21:45:00+00:00,0.5480088888888889,2.149,0.16463751915311056,900,4,21,0,0.5478177777777777,1.1351034872822563,1.0003488589068548,1.893219450100788,0
2023-03-31 22:00:00+00:00,0.6400733333333334,0.825,0.1419585361449853,900,4,22,0,0.3589105555555555,1.0059603607223082,1.7833784028518407,0.8201118376151785,0
2023-03-31 22:15:00+00:00,0.6385766666666667,2.114,0.20728282310449928,900,4,22,0,0.3589105555555555,1.0059603607223082,1.7792083759649189,2.1014744542042267,0
2023-03-31 22:30:00+00:00,0.5481211111111112,0.627,0.029316040909438686,900,4,22,0,0.3589105555555555,1.0059603607223082,1.5271802476321092,0.6232849965875357,0
2023-03-31 22:45:00+00:00,0.5852155555555555,2.213,0.1708401154011568,900,4,22,0,0.3589105555555555,1.0059603607223082,1.6305331411880708,2.1998878747180486,0
2023-03-31 23:00:00+00:00,0.5311177777777778,0.565,0.02004115663980291,900,4,23,0,0.2845658818257196,0.9653196815565842,1.8664141125078977,0.5852983325574941,0
2023-03-31 23:15:00+00:00,0.5349366666666667,2.134,0.16357688231949513,900,4,23,0,0.2845658818257196,0.9653196815565842,1.8798341643580623,2.210666622438394,0
2023-03-31 23:30:00+00:00,0.5220822222222222,0.55,0.009564947800402962,900,4,23,0,0.2845658818257196,0.9653196815565842,1.8346620433645935,0.569759438772782,0
2023-03-31 23:45:00+00:00,0.5344955555555555,2.168,0.17019493169433908,900,4,23,0,0.2845658818257196,0.9653196815565842,1.8782840448979177,2.2458881150170753,0
2023-04-01 00:00:00+00:00,0.5231355555555556,0.563,0.015337778691750984,900,5,0,1,0.4959011111111111,1.0069426127867367,1.0549191034950964,0.5591182584297277,0
2023-04-01 00:15:00+00:00,0.5616022222222222,2.188,0.16874631490412292,900,5,0,1,0.4959011111111111,1.0069426127867367,1.132488332127149,2.1729142974142888,0
2023-04-01 00:30:00+00:00,0.5121755555555556,0.526,0.0024074093595599488,900,5,0,1,0.4959011111111111,1.0069426127867367,1.0328179229281824,0.5223733640036179,0
2023-04-01 00:45:00+00:00,0.5201711111111111,2.095,0.16233749861989194,900,5,0,1,0.4959011111111111,1.0069426127867367,1.0489412091568435,2.080555508721634,0
2023-04-01 01:00:00+00:00,0.5150722222222223,0.55,0.0039883458640681485,900,5,1,1,0.5012877777777778,1.0076793018350578,1.0274980660919988,0.5458085712373071,0
2023-04-01 01:15:00+00:00,0.5200155555555556,2.1,0.16496917088948007,900,5,1,1,0.5012877777777778,1.0076793018350578,1.0373593345139962,2.0839963629060816,0
2023-04-01 01:30:00+00:00,0.5243677777777779,0.876,0.01937480174804161,900,5,1,1,0.5012877777777778,1.0076793018350578,1.0460414177706754,0.8693241970979654,0
