,mean_power,min_power,max_power,std_power,median_power,q10,q90,energy_kWh
2023-03-31 00:00:00+00:00,0.6750458686488692,0.484,2.694,0.23267511115532566,0.56,0.513,0.886,0.004137093611111111
2023-04-01 00:00:00+00:00,0.7498628530092593,0.0,8.776,0.8182117217668256,0.519,0.145,1.883,0.017996708472222223
2023-04-02 00:00:00+00:00,3.6216471064814812,0.0,14.745,4.280754989394847,1.634,0.34,11.526100000000005,0.08691953055555555
2023-04-03 00:00:00+00:00,0.7906945543981482,0.0,5.464,1.2801927817336318,0.212,0.0,3.774,0.018976669305555558
2023-04-04 00:00:00+00:00,0.8278187962962962,0.0,13.93,2.118077841099948,0.493,0.0,1.508,0.01986765111111111
2023-04-05 00:00:00+00:00,0.48042070601851855,0.0,4.708,0.6685706657043949,0.154,0.0,1.523,0.011530096944444445
2023-04-06 00:00:00+00:00,0.36903146990740743,0.0,3.35,0.37703255054268353,0.351,0.0,0.632,0.008856755277777779
2023-04-07 00:00:00+00:00,1.1954878414351853,0.0,14.126,2.565664715536429,0.503,0.0,1.935,0.028691708194444446
2023-04-08 00:00:00+00:00,1.9962597800925925,0.0,13.475,3.7177287653549453,0.509,0.0,10.215,0.04791023472222223
2023-04-09 00:00:00+00:00,1.512105601851852,0.0,14.12,3.2623494517918914,0.159,0.0,2.599100000000006,0.036290534444444446
2023-04-10 00:00:00+00:00,1.6662793981481483,0.0,13.544,3.4831988601673234,0.478,0.0,10.663,0.039990705555555554
2023-04-11 00:00:00+00:00,1.805327459490741,0.0,13.206,3.1083586664502536,0.506,0.0,7.451,0.04332785902777778
2023-04-12 00:00:00+00:00,0.33432518518518517,0.0,3.858,0.3867218585579588,0.395,0.0,0.596,0.008023804444444444
2023-04-13 00:00:00+00:00,0.5136836805555555,0.0,5.709,0.5923042187224852,0.513,0.0,1.292,0.012328408333333334
2023-04-14 00:00:00+00:00,1.1710521238425926,0.0,13.487,2.572589930613274,0.163,0.0,1.7011000000000058,0.02810525097222222
2023-04-15 00:00:00+00:00,0.7156433796296297,0.0,13.619,2.304412317928567,0.156,0.0,0.59,0.01717544111111111
2023-04-16 00:00:00+00:00,1.9315764930555557,0.0,13.942,3.632951815273294,0.482,0.0,10.045,0.04635783583333334
2023-04-17 00:00:00+00:00,0.3758402025462963,0.0,4.144,0.48802917891199815,0.202,0.0,0.777,0.00902016486111111
2023-04-18 00:00:00+00:00,1.4852132233796296,0.0,12.453,3.131901387765748,0.476,0.0,8.473100000000006,0.03564511736111111
2023-04-19 00:00:00+00:00,1.4161026967592594,0.0,12.717,3.094428494726128,0.179,0.0,8.983,0.03398646472222222
2023-04-20 00:00:00+00:00,0.482578443287037,0.0,4.288,0.5126483929914524,0.486,0.0,1.17,0.01158188263888889
2023-04-21 00:00:00+00:00,0.9031562109876604,0.479,2.145,0.29722586415380114,0.8925868508797091,0.508,1.3227684441449605,0.021675749063703852
2023-04-22 00:00:00+00:00,1.9672752002926044,1.4294704004030896,2.5050800001821187,0.31050713670139113,1.9672752002926042,1.5370313603809922,2.3975190402042164,0.047214604807022505
2023-04-23 00:00:00+00:00,3.0428972494009057,2.505092449511391,3.5807020492904207,0.3105071366958539,3.042897249400906,2.612653409489294,3.473141089312518,0.07302953398562174
2023-04-24 00:00:00+00:00,4.118519298509208,3.5807144986196926,4.656324098398722,0.310507136695693,4.118519298509208,3.6882754585975954,4.548763138420819,0.09884446316422096
2023-04-25 00:00:00+00:00,5.194141347617509,4.656336547727994,5.731946147507023,0.31050713669344887,5.194141347617508,4.763897507705897,5.62438518752912,0.1246593923428202
2023-04-26 00:00:00+00:00,6.26976339672581,5.731958596836296,6.807568196615325,0.31050713669344976,6.26976339672581,5.839519556814198,6.700007236637422,0.15047432152141946
2023-04-27 00:00:00+00:00,7.345385445834111,6.807580645944597,7.883190245723626,0.3105071366934489,7.345385445834111,6.9151416059225,7.775629285745723,0.17628925070001866
2023-04-28 00:00:00+00:00,6.857969339058121,0.13,13.912,3.128087715799141,8.200629468167932,0.67,8.629279793932715,0.1645912641373949
2023-04-29 00:00:00+00:00,0.4942094155092593,0.0,5.627,0.6640121194120188,0.477,0.0,0.98,0.011861025972222222
2023-04-30 00:00:00+00:00,1.3348113657407408,0.0,11.256,2.595016414747576,0.371,0.0,7.17,0.032035472777777775
2023-05-01 00:00:00+00:00,1.2328743402777778,0.0,13.251,2.8122493531097787,0.157,0.0,2.316,0.02958898416666667
2023-05-02 00:00:00+00:00,0.24180954861111112,0.0,2.654,0.3011541708454699,0.157,0.0,0.504,0.005803429166666665
2023-05-03 00:00:00+00:00,0.24699601273148147,0.0,3.6,0.4180728384316235,0.04,0.0,0.522,0.005927904305555556
2023-05-04 00:00:00+00:00,0.22546208912037038,0.0,3.925,0.4340471320106932,0.13,0.0,0.489,0.0054110901388888894
2023-05-05 00:00:00+00:00,0.6625156481481481,0.0,13.244,2.0353736140351524,0.132,0.0,1.484,0.015900375555555554
2023-05-06 00:00:00+00:00,0.23782171875,0.0,4.53,0.42962239233326044,0.139,0.0,0.529,0.005707721250000001
2023-05-07 00:00:00+00:00,2.359393472222222,0.0,14.171,4.0685369938224465,0.205,0.0,10.862,0.05662544333333334
2023-05-08 00:00:00+00:00,0.2830699479166667,0.0,3.875,0.5167115060437627,0.139,0.0,0.786,0.00679367875
2023-05-09 00:00:00+00:00,0.4745204398148148,0.0,5.171,0.6260199818292951,0.199,0.0,1.075,0.011388490555555558
